40829	134773
28592	31652
15105	123071
18227	36440
51074	122407
23893	117256
30785	100453
39396	11072
50492	105177
36134	32555
39701	131605
11670	46533
56974	66645
35900	152106
27119	177655
61151	62715
27674	150667
53020	31143
20605	147242
27135	57443
38175	17751
64888	55461
6672	145314
27759	70665
40869	171504
24203	30003
48275	165666
28404	30624
54650	102460
8759	101657
6941	62714
63712	115745
49903	35156
27522	37555
50979	133125
64624	140613
31567	25613
20794	116342
37799	66560
48975	72237
34524	21457
3282	75727
23685	56205
27687	67076
24250	104001
1089	75516
35885	15351
48393	137773
46179	144675
18784	16163
36384	12062
7994	6676
39939	56040
44607	143610
55476	101337
22487	151122
60443	11500
54797	114411
14260	40404
46166	75733
60866	40666
25704	123710
33785	165076
25301	130577
15394	150043
22603	26505
3648	51074
39533	62040
36461	25676
40774	45734
62275	45066
56200	31403
65005	25246
21680	3651
12872	104110
34623	152607
65020	137462
7712	173467
37276	151063
11416	26230
14783	170402
61796	175464
18205	64730
44476	161540
60210	172067
20078	63540
35410	127172
21881	134710
43808	35363
6662	162720
14103	26056
30496	77056
48222	173747
42795	7400
61571	17731
62046	7177
47956	144057
50554	104231
36072	106350
7394	71553
47391	55410
36363	176015
40174	156707
41038	143526
855	37204
2107	27677
52951	31236
11749	7771
3529	157761
42494	64267
57960	2510
53631	155464
12223	7643
17740	122731
43270	110024
29379	170445
42937	123671
65013	20550
42951	70733
52880	112460
59701	11530
57595	10323
3383	63336
62131	30113
12975	152102
44099	165343
52631	45562
19154	74361
29381	110436
17875	15444
63647	50112
65083	71420
46258	41116
42677	53166
29782	54262
31725	77725
3363	132244
55044	51116
10203	22220
60804	150272
57938	51743
55355	163553
1433	55253
4412	56033
14935	32450
867	35742
4310	62634
9215	134573
51351	24337
25959	22113
18143	135103
26228	172346
49189	153012
27695	22773
35950	172301
26608	132366
48953	50403
8502	111516
51183	131133
13059	142435
22882	165616
60147	171141
56499	164171
56102	157676
20668	73205
24496	36355
20281	47203
30324	113062
25542	67521
45966	106203
53657	40304
33015	13463
10246	52363
26854	12177
11823	100300
40058	172556
34915	170611
39433	171014
16837	173641
50231	37103
18491	12106
61625	14210
46912	15434
35868	22213
48448	114043
36637	130613
32406	25111
35664	60716
12511	57041
13043	151531
23176	23166
8261	154370
49589	75075
35007	13272
36513	120346
40213	150333
7361	114655
59324	163250
25960	140302
37337	144074
8729	25532
16373	73350
33532	143175
39696	106061
43854	100242
14224	155120
31951	60705
20477	47775
45346	121204
33268	171512
45597	121171
21565	77037
19154	116555
16299	175511
59685	60735
12760	121216
